date,t,cp_location,cp_location_norm,cp_score
2023-11-08,90,80.00000009911146,0.999999990088854,0.9999758900595502
2023-11-09,91,81.0,1.0,0.8413543861832999
2023-11-10,92,90.01293876802106,0.19870612319789416,0.7938482617106307
2023-11-13,93,90.02439730343536,0.29756026965646354,0.7714126664657387
2023-11-14,94,90.02959476520223,0.39704052347977664,0.7804386772727407
2023-11-15,95,90.03240758496705,0.49675924150329537,0.8624960811666761
2023-11-16,96,90.17407052319165,0.5825929476808355,0.9769707338471562
2023-11-17,97,96.99921746684274,7.825331572632876e-05,0.6678064111543238
2023-11-20,98,95.87767573906459,0.21223242609354145,0.5755186848061684
2023-11-21,99,95.00847191208715,0.39915280879128545,0.5825059138201073
2023-11-22,100,92.68050073570093,0.7319499264299069,0.5636133277081183
2023-11-24,101,92.98589572665536,0.8014104273344642,0.5940046408281179
2023-11-27,102,97.9852437469647,0.40147562530353015,0.6034639953976128
2023-11-28,103,97.9990257392117,0.5000974260788297,0.624908586694186
2023-11-29,104,98.81921600540544,0.5180783994594563,0.6024257078573806
2023-11-30,105,103.98591778418067,0.10140822158193288,0.9715926026652383
2023-12-01,106,97.2956785906804,0.8704321409319604,0.664577717943913
2023-12-04,107,103.01018481604224,0.39898151839577595,0.7084550084225725
2023-12-05,108,103.00554448918864,0.4994455510811363,0.6737013994872387
2023-12-06,109,102.24406540124467,0.6755934598755331,0.6004937278960225
2023-12-07,110,109.98845105904422,0.0011548940955776743,0.9773706991120148
2023-12-08,111,110.99977765813134,2.2234186866398885e-05,0.9480416174021316
2023-12-11,112,107.59434485139596,0.4405655148604041,0.9035023955592719
2023-12-12,113,106.82439044093664,0.6175609559063361,0.844424529004424
2023-12-13,114,106.55796917857263,0.7442030821427366,0.9296241576057608
2023-12-14,115,110.24914937328779,0.47508506267122075,0.9755777947218864
2023-12-15,116,112.38964002041325,0.3610359979586747,0.9798061551290691
2023-12-18,117,110.88704689717537,0.6112953102824633,0.9451851570689149
2023-12-19,118,112.67407577028739,0.5325924229712612,0.8955458846051886
2023-12-20,119,109.00000000378239,0.999999999621761,0.9471933148493868
2023-12-21,120,110.37500898004225,0.9624991019957747,0.9931651432913498
2023-12-22,121,114.53278722774245,0.6467212772257553,0.7627405562646351
2023-12-26,122,120.49233066247923,0.15076693375207667,0.8553193104124384
2023-12-27,123,119.14343887780561,0.38565611221943924,0.7958966637564195
2023-12-28,124,120.87280645820402,0.3127193541795975,0.6612296022773636
2023-12-29,125,117.91573326934478,0.7084266730655215,0.8914551451540853
2024-01-02,126,121.5173053377335,0.44826946622664965,0.818264126428316
2024-01-03,127,121.1136169322601,0.58863830677399,0.7762986782553349
2024-01-04,128,121.6694262471663,0.63305737528337,0.807849375424968
2024-01-05,129,121.38296186343464,0.7617038136565355,0.8624106651074335
2024-01-08,130,126.75191635970246,0.3248083640297537,0.8690641666672867
2024-01-09,131,125.84459523087911,0.5155404769120893,0.8926028917377294
2024-01-10,132,124.67710350553517,0.7322896494464828,0.7662673320629227
2024-01-11,133,126.10975197404333,0.6890248025956666,0.7750188502427872
2024-01-12,134,125.91060906687636,0.8089390933123639,0.9012924502191844
2024-01-16,135,131.99989551698894,0.30001044830110574,0.9629746761908979
2024-01-17,136,131.94245213357334,0.40575478664266595,0.8815515627744663
2024-01-18,137,131.30904072153984,0.5690959278460156,0.8193373491960453
2024-01-19,138,131.1257473081515,0.6874252691848511,0.7292671129756132
2024-01-22,139,132.57767524778302,0.642232475221698,0.6400717996775935
2024-01-23,140,134.01215603372518,0.5987843966274824,0.885636821782785
2024-01-24,141,134.3532051352252,0.664679486477479,0.725802635844724
2024-01-25,142,132.63853863312312,0.9361461366876881,0.7498908785394194
2024-01-26,143,140.1316277989168,0.286837220108319,0.5987447492145817
2024-01-29,144,139.84100800111216,0.4158991998887842,0.6253007001216435
2024-01-30,145,140.10525973863867,0.4894740261361335,0.6085859167419148
2024-01-31,146,145.0455128629668,0.09544871370331975,0.9988536293339101
2024-02-01,147,145.0025670482869,0.19974329517131081,0.9985465639913672
2024-02-02,148,145.0031357204164,0.2996864279583605,0.9931290265985981
2024-02-05,149,140.20940370005837,0.8790596299941627,0.9940360295540979
2024-02-06,150,143.1453898232188,0.6854610176781193,0.9282500057916568
2024-02-07,151,146.97700352001942,0.40229964799805773,0.9997114975355725
2024-02-08,152,146.02556729632363,0.5974432703676371,0.9999256353931824
2024-02-09,153,146.90732038172015,0.6092679618279846,0.9989528279839142
2024-02-12,154,146.99700605347374,0.700299394652626,0.9963752246255748
2024-02-13,155,146.78365301845744,0.8216346981542557,0.9957027566869002
2024-02-14,156,146.0,1.0,0.9974154699146389
2024-02-15,157,154.7081646703583,0.22918353296417138,0.9751327874775744
2024-02-16,158,153.99790828364576,0.40020917163542435,0.9363216786572188
2024-02-20,159,153.05407977936605,0.5945920220633951,0.8017890527236737
2024-02-21,160,156.94199825011694,0.30580017498830614,0.8531694925177665
2024-02-22,161,156.93661678871524,0.40633832112847584,0.9353492413140192
2024-02-23,162,158.98863202746247,0.30113679725375275,0.8885890750286174
2024-02-26,163,161.51379278582624,0.14862072141737598,0.8271029276276178
2024-02-27,164,162.60213228621674,0.13978677137832562,0.8471461811960379
2024-02-28,165,159.24077751397664,0.5759222486023361,0.7332945181174804
2024-02-29,166,162.0027998695144,0.39972001304855953,0.8701454923021488
2024-03-01,167,158.29856519894116,0.8701434801058838,0.7981929297712373
2024-03-04,168,159.28926084243378,0.8710739157566223,0.6767249647166371
2024-03-05,169,168.99999999999446,5.542233338928781e-13,0.6628678796663767
2024-03-06,170,168.88077359965106,0.11192264003489356,0.9383948116521941
2024-03-07,171,163.9886071329665,0.7011392867033492,0.6025401549528012
2024-03-08,172,163.9811687646681,0.8018831235331902,0.6506720999828766
2024-03-11,173,163.15480556770635,0.9845194432293652,0.7650256252474976
2024-03-12,174,170.00923365855843,0.39907663414415706,0.7750122840431545
2024-03-13,175,168.95188984589714,0.6048110154102858,0.7555066316921908
